spectral_class,evolutionary_state,metallicity,filepath
O,giant,supersolar,
O,giant,solar,
O,giant,subsolar,
O,dwarf,supersolar,
O,dwarf,solar,
O,dwarf,subsolar,
B,giant,supersolar,
B,giant,solar,
B,giant,subsolar,
B,dwarf,supersolar,
B,dwarf,solar,
B,dwarf,subsolar,
A,giant,supersolar,
A,giant,solar,
A,giant,subsolar,
A,dwarf,supersolar,
A,dwarf,solar,
A,dwarf,subsolar,
F,giant,supersolar,
F,giant,solar,
F,giant,subsolar,
F,dwarf,supersolar,
F,dwarf,solar,
F,dwarf,subsolar,
G,giant,supersolar,
G,giant,solar,
G,giant,subsolar,
G,dwarf,supersolar,
G,dwarf,solar,
G,dwarf,subsolar,
K,giant,supersolar,
K,giant,solar,
K,giant,subsolar,
K,dwarf,supersolar,
K,dwarf,solar,
K,dwarf,subsolar,
M,giant,supersolar,
M,giant,solar,
M,giant,subsolar,
M,dwarf,supersolar,
M,dwarf,solar,
M,dwarf,subsolar,
Y,giant,supersolar,
Y,giant,solar,
Y,giant,subsolar,
Y,dwarf,supersolar,
Y,dwarf,solar,teff_3000.0_logg_0.0_mh_-2.0.txt
Y,dwarf,subsolar,
